#{"t_start": 1771738114.2878625, "env_id": "None"}
r,l,t
-137.019081,70,4802.13366
-122.36344,137,4824.604548
-203.463783,41,4831.048877
-132.731023,114,4852.526572
151.868699,66,4863.807455
-158.258254,66,4875.722993
-148.281247,84,4890.473881
-158.227177,220,4923.426572
-152.772888,124,4942.121276
-153.937563,48,4950.534029
-159.557931,199,4982.680925
-176.171573,86,4995.91379
-165.81189,253,5041.775127
-115.534228,129,5061.519396
-131.00156,60,5070.903249
-141.29584,119,5092.423131
-151.339385,152,5115.943805
-131.44561,61,5126.17707
-12.904977,500,5216.950945
-138.411937,85,5231.07597
-157.142276,230,5267.070952
-152.77206,127,5287.073869
-102.733242,116,5306.018586
-158.806203,381,5369.614492
-165.317757,28,5374.514953
-152.996946,315,5422.170486
-133.994695,29,5427.32595
-130.987569,29,5431.409843
-151.694141,61,5442.169805
-128.301229,52,5450.531607
-158.18221,183,5479.684728
-21.068769,500,5564.416526
-151.97,220,5599.510859
-159.621344,204,5632.009012
-163.414805,313,5683.579321
-138.954065,121,5709.857246
-169.089324,85,5724.162062
-153.847891,242,5768.719811
-147.695317,38,5774.795373
-139.153095,35,5780.679547
-146.949621,61,5790.113704
-167.902592,58,5801.631735
-165.402506,156,5827.948227
-154.827989,63,5839.587505
-145.588424,74,5851.673836
-120.658848,67,5864.383551
-160.072954,127,5887.998721
-152.557254,185,5921.802765
-164.172937,91,5940.902568
-123.093349,138,5968.407724
-138.539926,98,5984.189307
-135.94655,92,6001.622114
-162.363108,44,6008.766898
-134.461463,289,6056.267657
-175.040817,60,6067.701122
-85.88962,127,6088.007906
170.642996,129,6113.93256
-146.520803,25,6117.993658
146.146155,70,6132.629468
-137.904187,76,6144.962008
-109.95159,141,6171.585134
-161.255283,463,6252.880005
-170.237033,426,6331.248316
-153.004605,85,6346.640215
-136.964867,90,6363.089938
-142.087172,111,6381.174933
-142.093763,112,6396.825615
-138.534204,199,6425.934106
-141.825491,98,6440.172408
175.377427,123,6461.951412
-159.373726,53,6471.3282
-136.2719,53,6480.282621
-122.525715,278,6520.761751
149.85442,90,6535.401422
-138.09048,86,6549.60658
-117.350225,153,6573.711257
-163.349692,153,6598.353207
-157.61371,338,6656.063631
-76.59644,116,6673.75564
-168.922336,86,6687.164528
-156.326203,106,6701.228491
-108.216531,80,6713.689925
-121.040428,97,6729.261504
-134.006395,136,6749.337975
-165.778703,41,6755.881855
-83.208059,231,6794.693155
-101.730871,85,6808.720675
-116.062058,173,6837.123539
-117.626882,79,6850.532958
-101.769461,83,6862.204971
-140.055935,136,6887.485022
-165.029559,369,6950.028255
-162.56527,97,6965.228819
-151.644171,242,7002.91712
16.627682,500,7081.918687
-129.659636,48,7089.240147
-147.736781,103,7107.365507
-166.711832,358,7168.863176
-162.492539,135,7193.473991
-173.882409,63,7204.262982
-174.439817,66,7215.336015
155.693154,124,7236.489655
-193.974013,179,7269.174066
156.666755,303,7320.499073
148.050487,42,7327.166745
-162.509058,261,7370.587069
-100.63919,83,7387.188611
165.071964,115,7406.821384
-159.456861,199,7442.883812
181.123735,159,7469.249017
-132.326628,72,7481.25197
-3.824493,500,7569.5042
-160.141962,117,7590.564679
-155.313575,50,7599.688856
-125.258001,86,7613.438792
-149.206031,241,7653.007169
-156.816213,199,7681.166424
-131.651406,92,7698.897756
-103.306274,77,7711.261004
-161.387079,238,7749.488969
-140.946514,114,7767.42956
-164.328596,146,7795.584834
-155.297049,122,7816.909971
144.277745,66,7827.49927
-144.734906,99,7846.018007
-111.799794,86,7860.893857
-139.278241,137,7881.865325
-142.246784,43,7889.197115
143.910222,500,7966.150052
189.362661,175,7995.392006
-151.395415,144,8018.152156
141.52078,96,8033.686259
-166.124042,337,8087.019363
146.787272,110,8106.461792
-147.973811,77,8118.551882
-100.732447,97,8134.999846
-143.014416,54,8144.814613
-178.455482,111,8162.509563
-196.920042,97,8178.735923
-169.192665,403,8236.27049
-139.584268,55,8245.144397
-129.30845,199,8276.507823
-165.532992,328,8332.825099
141.668293,47,8341.628431
-152.314109,168,8368.162858
-157.419565,191,8399.046934
-161.548311,249,8441.506047
-172.348389,71,8453.663641
-145.177066,184,8487.132401
-163.483518,291,8535.897844
-164.033883,292,8582.414956
-129.579038,66,8592.193837
-149.452511,88,8605.50917
-155.951336,166,8635.157529
-171.687509,16,8637.366671
-126.87471,89,8648.612424
-157.368889,220,8683.514408
-13.571466,500,8766.524551
146.44189,86,8779.899342
-153.202419,111,8796.427563
-165.613011,372,8858.247742
-148.407684,180,8885.636885
-122.971821,93,8899.543639
-142.027421,81,8910.801272
145.191849,94,8927.363285
-164.969615,194,8956.003941
-110.816314,78,8966.850352
-136.505826,95,8981.095033
-155.30882,20,8984.038228
159.346838,98,8999.548851
-106.861109,73,9012.63636
-143.312556,27,9017.168015
-150.078661,245,9056.927077
-157.555941,163,9084.940443
-153.403501,216,9126.261729
-121.547369,101,9141.622234
-161.409627,239,9184.560937
-155.824053,334,9242.304811
-219.642168,216,9277.87875
-115.314398,42,9284.67926
-157.322483,157,9309.91975
-160.627565,399,9378.983848
-176.089113,44,9385.641796
-149.514832,254,9428.555195
-161.26741,239,9466.834464
-155.124968,59,9477.41955
-106.900921,153,9501.458818
-161.651531,125,9524.011693
-82.150027,139,9545.987402
162.121229,65,9558.422714
-152.909888,109,9575.980421
-156.33417,184,9604.06473
-169.569499,277,9655.535615
-166.433875,26,9660.953673
-164.336997,359,9723.546042
-154.361114,288,9768.905157
-155.476608,114,9786.225204
-167.081512,91,9801.018162
-161.16682,287,9851.000928
-22.300248,500,9955.973863
-143.655607,51,9965.277548
-157.833641,70,9976.778653
-79.179716,154,10000.475323
-174.688182,151,10029.279693
172.418519,69,10040.845842
-154.230523,39,10046.392068
-119.054349,181,10075.504429
-141.223508,72,10087.70522
-166.794839,358,10150.362935
187.683421,134,10173.436162
-180.314022,50,10180.799591
-192.841972,202,10217.147016
168.588167,117,10234.839346
-144.960113,20,10237.053291
-156.408956,139,10259.600744
-151.033425,102,10275.495646
-152.742513,108,10292.516885
-157.314623,196,10325.195593
-157.789394,223,10357.164589
-106.169722,74,10369.381965
-132.24519,82,10384.983863
-198.890711,123,10403.084452
-136.776229,102,10420.372968
151.722606,103,10437.633396
-162.406948,270,10483.343137
-137.681306,118,10502.254191
-115.892672,68,10512.168892
-140.040045,22,10516.073398
-154.541885,125,10537.608902
-119.530435,84,10551.641384
-146.162504,122,10571.710444
-166.61997,486,10654.108649
-87.458854,82,10668.842865
-129.591867,93,10682.407081
-157.636109,165,10709.883397
-155.457713,155,10735.036334
-155.534232,132,10757.264118
-158.064743,496,10842.19235
145.431986,55,10852.154638
-170.423695,198,10887.22323
-172.848874,53,10897.320237
-112.118931,127,10920.960146
-159.309389,194,10951.306994
-154.626564,182,10982.318375
-145.792693,35,10988.36979
-150.794353,21,10991.497787
-158.391283,327,11042.497363
-130.17366,165,11068.624732
-159.478501,324,11122.367399
-135.265921,18,11125.737642
-164.134299,76,11138.589808
-162.754167,56,11146.617798
153.167396,78,11161.701963
-147.068268,48,11170.229786
-143.07201,31,11175.838481
-153.80255,78,11189.143945
-165.566363,451,11265.745711
-151.186787,58,11275.990404
-167.792903,17,11278.554476
-191.651958,270,11329.995565
-157.250027,199,11358.133543
-157.617724,98,11373.526838
-154.54882,64,11383.689262
-149.205257,48,11391.334698
-143.61362,255,11429.261364
148.467591,86,11442.508062
147.58447,53,11452.432054
-115.319558,51,11461.641974
-211.060052,149,11487.009868
-166.089714,428,11564.226576
152.655423,47,11572.226527
-144.282743,260,11615.398192
-160.976144,26,11619.712285
167.851978,62,11628.667784
-164.113363,483,11709.327461
-173.20977,40,11717.346716
160.972675,66,11728.288762
-132.569527,159,11754.731789
-173.83954,52,11763.731273
-163.130317,73,11774.507778
-159.041677,377,11840.545206
138.711068,69,11853.361352
-212.680069,329,11913.052779
-162.145624,310,11962.993797
-161.790015,249,12005.424902
-141.062924,30,12010.164712
-142.956749,52,12017.988419
-140.537889,91,12032.835917
-105.993468,67,12042.979043
177.051543,110,12060.456011
-165.515374,387,12122.183207
-146.149636,83,12135.392503
-171.831129,26,12138.834204
-143.191484,86,12153.151282
-160.172155,64,12163.130716
-77.807377,211,12198.466005
-157.045314,261,12246.058094
-141.047141,41,12252.573692
-159.225897,202,12284.623823
-21.745633,500,12366.43828
-148.963225,69,12373.450118
-149.313914,330,12430.607451
-94.30436,93,12446.562523
143.472429,53,12453.600444
-124.131054,51,12461.891905
-124.179749,82,12476.950633
-89.239521,158,12500.784728
-134.297471,74,12513.798733
-138.570364,27,12517.854136
160.962232,132,12542.15437
58.8908,500,12632.009103
165.180496,166,12661.860466
-24.010649,500,12744.982198
-161.018127,14,12746.631759
-125.584085,31,12751.15297
-161.536317,318,12801.175112
-155.099267,187,12829.928725
-174.432696,33,12837.143659
-143.888193,259,12876.536445
-137.842522,49,12884.279902
-156.127876,323,12933.13571
-112.638258,56,12940.813771
-137.889619,181,12971.617141
147.266895,226,13012.768325
-161.879097,251,13055.95434
165.400277,121,13076.931711
-163.456238,111,13096.374012
-145.911069,65,13106.793246
153.395987,52,13117.048609
-154.027849,134,13140.287611
-164.427755,52,13146.855055
-167.040145,408,13212.110624
-161.215172,83,13226.404517
133.197191,35,13232.729455
-162.733549,30,13236.606509
-139.077518,104,13253.464559
-111.335751,51,13262.384755
-112.059299,111,13285.743468
169.540844,95,13303.172986
-165.947136,31,13308.520301
-146.575366,156,13333.766074
-158.484426,38,13341.009648
-151.769716,156,13368.728999
-137.938135,289,13412.600062
192.206029,99,13428.974761
156.460678,137,13449.965106
151.921276,88,13463.954746
-156.987151,34,13469.663288
187.780942,164,13496.757885
137.166446,40,13503.43886
-129.654847,64,13513.762787
-179.15286,37,13519.639829
158.384305,56,13530.248779
-154.470497,203,13561.992225
158.002193,346,13621.342902
-147.75324,121,13639.905812
-168.532316,130,13657.942909
161.650153,161,13687.564673
-69.021493,331,13742.149435
-128.626852,46,13749.8635
146.451013,59,13760.813284
-97.625228,62,13770.659569
229.305235,307,13826.7569
-108.997386,134,13848.051986
-159.548752,259,13894.703602
-20.937231,500,13980.383174
-162.060634,100,13995.858995
