#{"t_start": 1771773700.512724, "env_id": "None"}
r,l,t
-163.71883,34,2776.984075
155.752652,64,2792.335741
132.535618,42,2800.909004
150.247561,74,2815.806452
140.317887,38,2823.837342
143.689825,38,2830.85187
-138.599921,34,2839.540933
-126.865973,168,2874.429863
-164.351406,32,2891.882644
133.550709,41,2899.738767
129.107097,33,2906.42187
134.221083,37,2912.433
-158.400252,28,2917.567001
148.940075,44,2926.881577
-161.285683,44,2933.655844
138.856612,48,2941.5062
132.066435,55,2950.172897
-135.466368,37,2956.965672
-132.610183,23,2961.514774
-141.54695,40,2969.156868
-134.269866,23,2973.651136
-127.310336,32,2981.044606
135.844968,53,2991.473551
-126.591046,57,3001.07386
172.781125,72,3015.103265
-150.573388,71,3027.416718
159.033398,53,3035.007519
136.065234,40,3042.636533
-144.068678,48,3052.397001
-102.336821,138,3076.549055
-132.511757,73,3096.349898
-127.785066,129,3118.279247
149.120284,49,3126.446273
-85.094447,148,3154.547548
-149.235975,56,3165.677308
146.487348,45,3173.846557
149.441227,43,3182.326387
145.313285,55,3193.132417
-123.397794,115,3215.043722
-151.845503,29,3221.051795
157.882268,65,3244.193042
146.468776,41,3251.418083
132.651818,33,3257.175861
-153.764752,38,3270.444902
155.701568,49,3279.043079
-145.826519,51,3290.2497
-154.254298,50,3299.242869
-124.945472,185,3331.934481
-139.676812,31,3336.707233
-122.573364,43,3348.46909
158.261701,74,3359.699424
138.408638,34,3365.561894
-134.581742,41,3374.853264
-132.172972,78,3388.944216
-130.905878,111,3408.689358
141.268411,38,3416.655214
132.96602,31,3423.131883
-126.016653,37,3430.836476
164.570073,56,3441.219918
-151.385797,22,3444.839815
163.224052,145,3478.497813
171.109923,69,3492.793099
-113.459605,40,3500.576035
-137.762219,50,3509.010169
142.887942,44,3516.236898
-164.728751,65,3533.885375
132.62648,44,3541.561498
153.033403,84,3558.59249
163.54926,85,3574.486874
161.047894,57,3584.492179
-131.094715,191,3621.900902
154.857251,55,3631.478879
-105.203639,131,3654.853795
141.631742,67,3666.068471
-142.423093,79,3680.259461
-145.045173,26,3686.266457
154.531733,47,3695.14891
164.572426,57,3706.708569
-145.588636,81,3730.313752
-141.562783,26,3739.15464
135.86815,34,3745.084517
-149.257412,41,3755.3053
135.429006,42,3764.650011
-126.914969,69,3778.601176
131.056844,34,3784.922514
-143.767232,18,3787.728252
-141.662056,21,3791.486099
150.020545,81,3807.840764
-146.15774,48,3816.384355
-152.101227,32,3822.283922
139.152984,41,3829.34111
-149.295231,30,3834.361856
133.411309,32,3840.563885
-130.288619,142,3864.869988
134.395682,44,3873.324332
149.426757,43,3881.48017
-122.622344,72,3905.030426
-94.227021,221,3956.645551
-128.193999,59,3978.487047
-148.689849,30,3988.475879
142.998287,38,3995.543318
164.367833,78,4014.46213
152.442288,100,4034.992691
-134.674724,58,4048.084126
-125.374682,260,4095.954164
159.642963,65,4108.143646
-123.275342,39,4115.255771
-142.671584,68,4129.766507
161.412346,129,4152.748515
157.084109,50,4161.803282
136.097968,53,4171.20337
-144.038546,44,4184.681015
-155.657115,37,4195.211544
151.100512,59,4207.470214
141.733054,43,4215.349466
146.17954,49,4224.852014
-134.877157,97,4243.004285
-118.262449,35,4249.824636
145.704918,42,4257.729512
135.629485,41,4264.816679
-150.78214,40,4275.005159
167.46818,91,4290.747384
-134.597298,83,4307.713852
-145.833322,41,4319.101484
-122.271521,35,4325.911012
-95.889196,88,4342.684518
-93.978669,97,4360.121453
-94.320589,116,4383.889095
-142.98011,120,4404.908364
146.614161,48,4414.192737
-141.901899,30,4419.199883
153.43374,46,4427.717763
-133.110162,30,4434.403271
164.458069,80,4455.170398
136.253194,35,4462.024784
-150.03143,40,4471.490083
-105.017034,64,4482.014968
-131.614377,80,4496.383641
132.769738,33,4502.69061
-103.769143,92,4524.435398
134.437467,46,4532.64285
152.753022,61,4543.813162
133.976656,33,4549.713067
161.187129,82,4564.828292
-118.138636,71,4588.850481
-174.27735,17,4591.494992
-126.676126,94,4615.185303
164.661487,65,4626.485491
-146.965742,118,4648.307458
-134.431182,33,4654.847504
-122.005186,61,4665.399817
142.713349,48,4674.506528
147.427363,44,4682.976007
-119.069278,122,4715.038482
153.057104,49,4724.065478
-160.675295,102,4739.819222
136.054246,90,4754.175082
-137.185564,20,4759.982989
-168.311748,55,4770.668761
142.450636,49,4781.939173
-170.146541,49,4792.44443
-96.356277,91,4809.347402
-132.612365,44,4819.272671
-153.270991,110,4845.587534
-137.417745,43,4854.112294
137.371903,43,4862.644471
-156.201014,25,4872.686209
-135.998357,51,4882.626133
-172.986511,43,4890.862854
-133.514403,42,4902.548275
-83.010044,184,4934.14156
-149.567696,29,4938.801673
-134.169837,32,4944.756243
152.724114,53,4954.958142
-155.606872,56,4964.872801
-128.05147,69,4977.976302
-134.43657,123,5002.449284
135.21489,33,5009.423671
125.518915,36,5015.398768
-110.123277,204,5057.610419
153.293395,46,5068.553259
168.29223,68,5081.182546
-115.026471,46,5094.971024
150.69044,75,5110.512978
-168.025458,23,5114.588542
-162.99559,51,5123.990107
-134.395867,117,5144.105047
-145.928303,33,5148.978935
-164.846685,63,5162.226852
-147.468584,49,5171.261019
135.522646,49,5183.659751
-137.237682,48,5196.193489
-131.262324,42,5203.039951
-111.161222,135,5227.550823
134.270692,44,5236.793977
168.359568,59,5248.119849
